text,label
Government launches new education policy,real
Aliens found living on Mars,fake
Stock market reaches record high,real
Drinking bleach cures diseases,fake
Scientists develop new cancer treatment,real
Man claims time travel using mobile phone,fake
New AI tool helps farmers increase yield,real
Eating plastic improves digestion,fake
India wins international science award,real
Magic stone cures all illnesses,fake
New space mission launched by ISRO,real
Scientists confirm benefits of regular exercise,real
Government increases scholarship funds,real
Doctors discover new heart treatment,real
Researchers publish climate change report,real
Man grows third hand after phone usage,fake
Drinking salt water gives superpowers,fake
Earth will stop rotating next week,fake
Sleeping with phone charges brain,fake
Magic bracelet cures diabetes,fake
